chunk_id,entity_text,label
2,Su Tzu's,PERSON
2,The Art of War,WORK_OF_ART
2,Sun Tzu's,PERSON
2,Sun Tzu's,PERSON
2,Dao,WORK_OF_ART
5,Calculations,WORK_OF_ART
6,The great Han Wudi,PERSON
6,a generation,DATE
6,Waging War,WORK_OF_ART
9,Planning Assaults,WORK_OF_ART
10,Sun Tzu's,PERSON
10,The Art of War,WORK_OF_ART
10,Formations,WORK_OF_ART
11,Sun Tzu's,PERSON
11,The Art of War,WORK_OF_ART
14,Weak Points and Strong,WORK_OF_ART
15,Takeda Shingen's,PERSON
15,Sun Tzu's,PERSON
15,The Art of War,WORK_OF_ART
16,the Battle of Changping,EVENT
16,Zhao Kuo,PERSON
16,the King of Zhao,PERSON
17,Armed Struggle,WORK_OF_ART
19,Variation in Tactics,WORK_OF_ART
20,Xiang,PERSON
20,Song,GPE
20,Huan,PERSON
20,Tzu,PERSON
20,The Art of War,WORK_OF_ART
20,The Army on the March,WORK_OF_ART
21,Sun Tzu's,PERSON
22,Taizong,PERSON
22,Terrain,WORK_OF_ART
24,years,DATE
25,every day,DATE
26,The Nine Situations,WORK_OF_ART
27,Attack by Fire,WORK_OF_ART
28,Surviving spies,WORK_OF_ART
28,Chen Ping,PERSON
29,The Use of Spies,WORK_OF_ART
29,Sun Tzu's,PERSON
29,"The Art of War

",WORK_OF_ART
29,Sun Tzu's,PERSON
29,The Art of War,WORK_OF_ART
30,Sun Tzu',PERSON
30,The Art of War,WORK_OF_ART
31,Sun Tzu,PERSON
32,The Art of War,WORK_OF_ART
32,Sun Tzu's,PERSON
32,Chinese,NORP
32,Sun Tzu's,PERSON
32,The Art of War,WORK_OF_ART
32,Song dynasty,DATE
32,960-1279 CE,DATE
32,Eleven Commentaries on Sun Tzu's The Art of War,WORK_OF_ART
33,The Eleven Commentators,WORK_OF_ART
33,Cao Cao,PERSON
33,Meng Shi,PERSON
33,Li Quan,PERSON
33,Gu Lin,PERSON
33,Du You,PERSON
33,Du Mu,PERSON
33,Chen Hao,PERSON
33,Wang Xi,PERSON
33,Mei Yaochen,PERSON
33,He Shi,PERSON
33,Zhang Yu,PERSON
34,Sun Tzu's,PERSON
34,Cao Cao,PERSON
34,Sun Tzu's,PERSON
35,Cao Cao,PERSON
35,the Three Kingdoms period,DATE
35,220-280 CE,DATE
35,Chinese,NORP
36,Cao Cao's,PERSON
37,Cao Cao,PERSON
37,Sun Tzu,PERSON
37,Cao Cao,PERSON
38,Sun Tzu,PERSON
38,Meng Shi,PERSON
38,the Liang dynasty,DATE
38,Southern,NORP
38,420-589 CE,DATE
39,today,DATE
39,Li Quan,PERSON
39,the Tang dynasty,DATE
39,Xuanzong,PERSON
39,846-859 CE,DATE
39,Shaoshi Mountain,LOC
39,Shaolin,FAC
40,Jingnan,GPE
41,Cao Cao's,PERSON
41,Cao Cao's,PERSON
41,Li Quan's,PERSON
41,Gu Lin,PERSON
41,the Tang dynasty,DATE
42,Dezong,PERSON
42,779-805 CE,DATE
42,Zhaoyi,GPE
42,Li Baozhen,PERSON
42,Li,PERSON
42,Gu Lin,PERSON
42,Wang Wujun,PERSON
43,Zhu Ci,PERSON
43,Gu Lin,PERSON
43,Wuwei Commandery,ORG
43,the Shence Army,ORG
44,Du You,PERSON
44,the Tang dynasty,DATE
44,An-Shi,NORP
44,China,GPE
45,36 years,DATE
47,The Tongdian,WORK_OF_ART
47,Du You's,PERSON
47,Du Mu,PERSON
47,Du You's,PERSON
47,Cao,PERSON
48,Du Mu's,PERSON
48,Du Mu,PERSON
48,Tang dynasty,DATE
48,China,GPE
48,Qingming Festival,EVENT
49,Apricot Blossom Village,LOC
49,Du Mu,PERSON
49,Du You,PERSON
49,Tongdian,WORK_OF_ART
50,Du Mu,PERSON
51,Cao,PERSON
51,Du Mu's,PERSON
51,Cao Cao,PERSON
51,Du Mu,PERSON
51,Cao Cao,PERSON
51,Du Mu's,PERSON
52,Du Mu,PERSON
52,Cao Cao,PERSON
52,Du Mu,PERSON
52,Cao Cao,PERSON
53,Cao Cao,PERSON
53,Cao Cao,PERSON
53,Confucius,PERSON
53,Confucian,NORP
53,The Great Learning,WORK_OF_ART
54,Du Mu,PERSON
54,Cao Cao,PERSON
54,Du Mu,PERSON
54,Chen Hao,PERSON
54,Chen Hao,PERSON
54,Du Mu,PERSON
54,Cao Cao,PERSON
54,Du Mu,PERSON
54,Cao Cao,PERSON
54,Sun Tzu's,PERSON
54,The Art of War,WORK_OF_ART
54,Chen Hao,PERSON
54,the Tang dynasty,DATE
54,Chen Hao,PERSON
54,Cao,PERSON
54,Du Mu's,PERSON
54,Chen Hao,PERSON
54,Cao,PERSON
54,Du,PERSON
54,Chen,PERSON
54,Sun Tzu,PERSON
54,Cao Cao's,PERSON
54,Du Mu's,PERSON
55,Chen Hao,PERSON
55,Cao Cao,PERSON
55,Du Mu,PERSON
55,Chinese,NORP
55,Cao Cao,PERSON
55,Du Mu,PERSON
55,Chen Hao,PERSON
55,Commentaries of the Three Masters,WORK_OF_ART
56,the Tang dynasty,DATE
56,Li Quan,PERSON
56,Gu Lin,PERSON
56,Du You,PERSON
56,Du Mu,PERSON
56,Chen Hao,PERSON
56,China,GPE
56,the second half of the Tang dynasty,DATE
56,An-Shi,NORP
57,almost every year,DATE
57,Du Mu,PERSON
58,the Tang dynasty,DATE
58,the Song dynasty,DATE
58,Tangut,NORP
58,Li Yuanhao's,PERSON
58,Western Xia',NORP
58,Song,PERSON
59,Seven Military Classics,WORK_OF_ART
59,Sun Tzu's,PERSON
59,The Art of War,WORK_OF_ART
59,Song,PERSON
59,the Song dynasty's,DATE
59,Wang Xi,PERSON
60,Mei Yaochen,PERSON
60,Ouyang Xiu,PERSON
60,China,GPE
61,He Shi,PERSON
62,Zhang Yu,PERSON
62,the Southern Song dynasty,DATE
62,Biographies of One Hundred Generals,WORK_OF_ART
63,Sun Tzu's,PERSON
63,The Art of War,WORK_OF_ART
63,A Translation and Commentary of Sun Tzu's The Art of War4,WORK_OF_ART
63,Guo Huaruo,PERSON
63,the Shanghai Ancient Books Publishing House,ORG
