term,chunk_id
author,1
author,148
author,1391
author,2997
author,2998
author,2999
author,3003
author,3015
author,3017
author,3019
author,3025
author,3030
author,3042
author,3043
preface,1
method,2
method,8
method,70
method,73
method,88
method,89
method,95
method,96
method,165
method,168
method,385
method,396
method,399
method,594
method,610
method,763
method,818
method,877
method,880
method,882
method,883
method,884
method,891
method,901
method,914
method,1255
method,1744
method,2100
method,2664
method,2704
strengths,2
strengths,88
strengths,99
strengths,547
strengths,648
strengths,1042
strengths,1086
strengths,1097
strengths,1098
strengths,1110
strengths,1191
strengths,1273
strengths,2305
strengths,2861
strengths,2958
weaknesses,2
weaknesses,88
weaknesses,99
weaknesses,215
weaknesses,547
weaknesses,648
weaknesses,1042
weaknesses,1086
weaknesses,1088
weaknesses,1097
weaknesses,1098
weaknesses,1110
weaknesses,1273
weaknesses,1780
weaknesses,2305
weaknesses,2861
factors,2
factors,4
factors,70
factors,73
factors,74
factors,75
factors,88
factors,89
factors,95
factors,96
factors,98
factors,104
factors,165
factors,176
factors,194
factors,382
factors,385
factors,388
factors,396
factors,411
factors,515
factors,658
factors,672
factors,673
factors,681
factors,698
factors,712
factors,725
factors,741
factors,749
factors,751
factors,754
factors,767
factors,1255
factors,1257
factors,1278
factors,1328
factors,1370
factors,1381
factors,1389
factors,1700
factors,1838
factors,2302
factors,2627
factors,2677
factors,2943
factors,2958
victory,2
victory,6
victory,12
victory,13
victory,14
victory,15
victory,21
victory,69
victory,74
victory,79
victory,84
victory,85
victory,99
victory,118
victory,143
victory,176
victory,196
victory,208
victory,209
victory,212
victory,214
victory,221
victory,225
victory,234
victory,250
victory,254
victory,266
victory,295
victory,298
victory,299
victory,319
victory,344
victory,371
victory,383
victory,392
victory,393
victory,402
victory,405
victory,406
victory,411
victory,412
victory,413
victory,439
victory,459
victory,503
victory,507
victory,514
victory,515
victory,516
victory,520
victory,527
victory,533
victory,549
victory,580
victory,591
victory,612
victory,613
victory,620
victory,628
victory,630
victory,648
victory,663
victory,672
victory,673
victory,674
victory,678
victory,679
victory,681
victory,698
victory,712
victory,725
victory,741
victory,749
victory,751
victory,755
victory,767
victory,768
victory,770
victory,773
victory,774
victory,776
victory,777
victory,778
victory,780
victory,782
victory,786
victory,791
victory,796
victory,801
victory,804
victory,816
victory,817
victory,818
victory,824
victory,825
victory,826
victory,831
victory,835
victory,855
victory,856
victory,858
victory,867
victory,873
victory,880
victory,881
victory,884
victory,891
victory,893
victory,899
victory,900
victory,901
victory,902
victory,907
victory,927
victory,928
victory,931
victory,947
victory,950
victory,951
victory,957
victory,959
victory,966
victory,967
victory,968
victory,975
victory,979
victory,983
victory,986
victory,987
victory,988
victory,992
victory,1026
victory,1040
victory,1050
victory,1073
victory,1075
victory,1102
victory,1105
victory,1143
victory,1182
victory,1185
victory,1194
victory,1230
victory,1233
victory,1234
victory,1247
victory,1250
victory,1251
victory,1252
victory,1253
victory,1272
victory,1273
victory,1276
victory,1283
victory,1286
victory,1287
victory,1290
victory,1292
victory,1296
victory,1297
victory,1303
victory,1311
victory,1312
victory,1313
victory,1314
victory,1318
victory,1334
victory,1339
victory,1341
victory,1370
victory,1391
victory,1394
victory,1436
victory,1464
victory,1481
victory,1492
victory,1499
victory,1521
victory,1532
victory,1564
victory,1644
victory,1651
victory,1741
victory,1770
victory,1793
victory,1795
victory,1814
victory,1821
victory,1827
victory,1918
victory,1922
victory,1931
victory,1939
victory,1943
victory,2054
victory,2062
victory,2102
victory,2118
victory,2130
victory,2134
victory,2135
victory,2136
victory,2153
victory,2169
victory,2186
victory,2188
victory,2213
victory,2222
victory,2226
victory,2228
victory,2229
victory,2231
victory,2232
victory,2235
victory,2239
victory,2297
victory,2298
victory,2299
victory,2300
victory,2302
victory,2305
victory,2313
victory,2314
victory,2315
victory,2316
victory,2338
victory,2341
victory,2353
victory,2358
victory,2375
victory,2396
victory,2413
victory,2430
victory,2434
victory,2453
victory,2456
victory,2461
victory,2490
victory,2513
victory,2539
victory,2555
victory,2589
victory,2601
victory,2602
